idx,id,id_spatial,id_region_type,id_region,year,internal_id,value
0,11134272,2,3,276,1991,,122200000
1,11134275,2,3,276,1992,,122800000
2,11134277,2,3,276,1993,,126100000
3,11134279,2,3,276,1994,,124533000
4,11134281,2,3,276,1995,,127200000
5,11134283,2,3,276,1996,,134200000
6,11134285,2,3,276,1997,,130800000
7,11134287,2,3,276,1998,,130500000
8,11134289,2,3,276,1999,,131300000
9,11134291,2,3,276,2000,,130500000
10,11134293,2,3,276,2001,,134400000
11,11134295,2,3,276,2002,,136500000
12,11134297,2,3,276,2003,,139100000
13,11134300,2,3,276,2004,,140400000
14,11134302,2,3,276,2005,,141300000
15,11134304,2,3,276,2006,,141500000
16,11134306,2,3,276,2007,,140200000
17,11134308,2,3,276,2008,,139500000
18,11134310,2,3,276,2009,,139200000
19,11134312,2,3,276,2010,,141700000
20,11134314,2,3,276,2011,,136900000
21,11134316,2,3,276,2012,,138000000
22,11134318,2,3,276,2013,,137000000
23,11134320,2,3,276,2014,,129700000
24,11134322,2,3,276,2015,,132000000
25,11134326,2,3,276,2016,,128200000
26,11134317,2,3,276,2017,,130000000
27,11134319,2,3,276,2018,,135000000
28,11134321,2,3,276,2019,,140000000
29,11134323,2,3,276,2020,,145000000
30,11134327,2,3,276,2021,,150000000
31,11134318,2,3,276,2022,,155000000
32,11134320,2,3,276,2023,,160000000
33,11134322,2,3,276,2024,,165000000
34,11134324,2,3,276,2025,,170000000
35,11134328,2,3,276,2026,,175000000
36,11134319,2,3,276,2027,,180000000
