Application,PersonsInHousehold,BuildingType,Value,Unit
Cooking,1,,0.198,MWh/a
Cooking,2,,0.396,MWh/a
Cooking,3,,0.44,MWh/a
Cooking,4,,0.595,MWh/a
Cooking,5,,0.595,MWh/a
Cooking,6,,0.595,MWh/a
HotWater,1,,0.4,MWh/a
HotWater,2,,0.8,MWh/a
HotWater,3,,1.2,MWh/a
HotWater,4,,1.6,MWh/a
HotWater,5,,2,MWh/a
HotWater,6,,2.4,MWh/a
SpaceHeatingOnly,,1FH,0.1416,MWh/m²/a
SpaceHeatingOnly,,2FH,0.1366,MWh/m²/a
SpaceHeatingOnly,,MFH_03_06,0.1316,MWh/m²/a
SpaceHeatingOnly,,MFH_07_12,0.1316,MWh/m²/a
SpaceHeatingOnly,,MFH_13_99,0.1316,MWh/m²/a
SpaceHeatingPlusHotWater,,1FH,0.160413986,MWh/m²/a
SpaceHeatingPlusHotWater,,2FH,0.154749651,MWh/m²/a
SpaceHeatingPlusHotWater,,MFH_03_06,0.149085315,MWh/m²/a
SpaceHeatingPlusHotWater,,MFH_07_12,0.149085315,MWh/m²/a
SpaceHeatingPlusHotWater,,MFH_13_99,0.149085315,MWh/m²/a
