idx,id_t_nuts1_bl,id_nuts1,natcode_nuts1,name,id_ags_bl,ags_bl,id_ags
0,1,27600001,DEF,Schleswig-Holstein,1,1,1000000
1,2,27600002,DE6,Hamburg,2,2,2000000
2,3,27600003,DE9,Niedersachsen,3,3,3000000
3,4,27600004,DE5,Bremen,4,4,4000000
4,5,27600005,DEA,Nordrhein-Westfalen,5,5,5000000
5,6,27600006,DE7,Hessen,6,6,6000000
6,7,27600007,DEB,Rheinland-Pfalz,7,7,7000000
7,8,27600008,DE1,Baden-Württemberg,8,8,8000000
8,9,27600009,DE2,Bayern,9,9,9000000
9,10,27600010,DEC,Saarland,10,10,10000000
10,11,27600011,DE3,Berlin,11,11,11000000
11,12,27600012,DE4,Brandenburg,12,12,12000000
12,13,27600013,DE8,Mecklenburg-Vorpommern,13,13,13000000
13,14,27600014,DED,Sachsen,14,14,14000000
14,15,27600015,DEE,Sachsen-Anhalt,15,15,15000000
15,16,27600016,DEG,Thüringen,16,16,16000000
