Application,1,2,3,4,5,all
Light,0.101,0.091,0.088,0.095,0.104132748,0.097
Cooking,0.079,0.103,0.092,0.093,0.084681416,0.09
Dishwashing,0.025,0.044,0.053,0.061,0.062318584,0.051
Washing,0.039,0.042,0.048,0.052,0.055955751,0.049
Tumbler,0.025,0.047,0.067,0.082,0.088637167,0.066
Hotwater,0.14,0.132,0.122,0.109,0.106637167,0.119
Office,0.154,0.129,0.125,0.122,0.120548669,0.129
TV_Audio,0.129,0.126,0.128,0.114,0.107592918,0.119
Other,0.072,0.067,0.069,0.068,0.077769915,0.071
Fridge,0.15,0.121,0.101,0.091,0.079362832,0.104
Circulation,0.062,0.053,0.06,0.064,0.062407082,0.06
Freezer,0.024,0.045,0.047,0.049,0.049955751,0.045
